Age,Weight,Age Group,Gender,kcal/d,Carbohydrates,of which free sugars,Fat,of which saturated fat,Fibre(g),Salt(g),Protein(g),Protein(kcal/d)
1-2 months,2,Infant,M,574,287,28.7,200.9,63.14,,<1,12.5,50
3-4 months,2,Infant,M,598,299,29.9,209.3,65.78,,<1,12.7,50.8
5-6 months,2,Infant,M,622,311,31.1,217.7,68.42,,<1,12.7,50.8
7-9 months,3,Infant,M,717,358.5,35.85,250.95,78.87,,1,13.7,54.8
10-12 months,3,Infant,M,718,359,35.9,251.3,78.98,,1,14.9,59.6
1,12,Infant,M,765,382.5,38.25,267.75,84.15,,2,14.5,58
2,1,Nursery,M,1004,502,50.2,351.4,110.44,15,2,14.5,58
3,1,Nursery,M,1171,585.5,58.55,409.85,128.81,15,2,14.5,58
4,1,Nursery,M,1386,693,69.3,485.1,152.46,15,3,19.7,78.8
5,1,Primary School,M,1482,741,74.1,518.7,163.02,15,3,19.7,78.8
6,1,Primary School,M,1577,788.5,78.85,551.95,173.47,20,3,19.7,78.8
7,1,Primary School,M,1649,824.5,82.45,577.15,181.39,20,5,28.3,113.2
8,1,Primary School,M,1745,872.5,87.25,610.75,191.95,20,5,28.3,113.2
9,1,Primary School,M,1840,920,92,644,202.4,20,5,28.3,113.2
10,1,Primary School,M,2032,1016,101.6,711.2,223.52,20,5,28.3,113.2
11,1,Primary School,M,2127,1063.5,106.35,744.45,233.97,20,6,26.7,106.8
12,1,Secondary School,M,2247,1123.5,112.35,786.45,247.17,25,6,29.925,119.7
13,1,Secondary School,M,2414,1207,120.7,844.9,265.54,25,6,33.975,135.9
14,1,Secondary School,M,2629,1314.5,131.45,920.15,289.19,25,6,38.1,152.4
15,1,Secondary School,M,2820,1410,141,987,310.2,25,6,42,168
16,1,Secondary School,M,2964,1482,148.2,1037.4,326.04,25,6,45.6,182.4
17,1,Adult,M,3083,1541.5,154.15,1079.05,339.13,30,6,49.5,198
18,1,Adult,M,3155,1577.5,157.75,1104.25,347.05,30,6,50.475,201.9
19-24,5,Adult,M,2772,1386,138.6,970.2,304.92,30,6,62.925,251.7
25-34,10,Adult,M,2749,1374.5,137.45,962.15,302.39,30,6,62.925,251.7
35-44,10,Adult,M,2629,1314.5,131.45,920.15,289.19,30,6,62.925,251.7
45-54,10,Adult,M,2581,1290.5,129.05,903.35,283.91,30,6,62.925,251.7
55-64,10,Adult,M,2581,1290.5,129.05,903.35,283.91,30,6,62.925,251.7
65-74,10,Adult,M,2342,1171,117.1,819.7,257.62,30,6,62.925,251.7
75+,10,Adult,M,2294,1147,114.7,802.9,252.34,30,6,62.925,251.7
1-2 months,2,Infant,F,502,251,25.1,175.7,55.22,,<1,12.5,50
3-4 months,2,Infant,F,550,275,27.5,192.5,60.5,,<1,12.7,50.8
5-6 months,2,Infant,F,574,287,28.7,200.9,63.14,,<1,12.7,50.8
7-9 months,3,Infant,F,645,322.5,32.25,225.75,70.95,,1,13.7,54.8
10-12 months,3,Infant,F,646,323,32.3,226.1,71.06,,1,14.9,59.6
1,12,Infant,F,717,358.5,35.85,250.95,78.87,,2,14.5,58
2,1,Nursery,F,932,466,46.6,326.2,102.52,15,2,14.5,58
3,1,Nursery,F,1076,538,53.8,376.6,118.36,15,2,14.5,58
4,1,Nursery,F,1291,645.5,64.55,451.85,142.01,15,3,19.7,78.8
5,1,Primary School,F,1362,681,68.1,476.7,149.82,15,3,19.7,78.8
6,1,Primary School,F,1482,741,74.1,518.7,163.02,20,3,19.7,78.8
7,1,Primary School,F,1530,765,76.5,535.5,168.3,20,5,28.3,113.2
8,1,Primary School,F,1625,812.5,81.25,568.75,178.75,20,5,28.3,113.2
9,1,Primary School,F,1721,860.5,86.05,602.35,189.31,20,5,28.3,113.2
10,1,Primary School,F,1936,968,96.8,677.6,212.96,20,5,28.3,113.2
11,1,Primary School,F,2032,1016,101.6,711.2,223.52,20,6,27.675,110.7
12,1,Secondary School,F,2103,1051.5,105.15,736.05,231.33,25,6,31.125,124.5
13,1,Secondary School,F,2223,1111.5,111.15,778.05,244.53,25,6,34.35,137.4
14,1,Secondary School,F,2342,1171,117.1,819.7,257.62,25,6,35.7,142.8
15,1,Secondary School,F,2390,1195,119.5,836.5,262.9,25,6,39.075,156.3
16,1,Secondary School,F,2414,1207,120.7,844.9,265.54,30,6,40.125,160.5
17,1,Adult,F,2462,1231,123.1,861.7,270.82,30,6,41.625,166.5
18,1,Adult,F,2462,1231,123.1,861.7,270.82,30,6,42.15,168.6
19-24,5,Adult,F,2175,1087.5,108.75,761.25,239.25,30,6,52.95,211.8
25-34,10,Adult,F,2175,1087.5,108.75,761.25,239.25,30,6,52.95,211.8
35-44,10,Adult,F,2103,1051.5,105.15,736.05,231.33,30,6,52.95,211.8
45-54,10,Adult,F,2103,1051.5,105.15,736.05,231.33,30,6,52.95,211.8
55-64,10,Adult,F,2079,1039.5,103.95,727.65,228.69,30,6,52.95,211.8
65-74,10,Adult,F,1912,956,95.6,669.2,210.32,30,6,52.95,211.8
75+,10,Adult,F,1840,920,92,644,202.4,30,6,52.95,211.8
