Region,County,Count
East,Bedfordshire,3
East,Cambridgeshire,5
East,Essex,11
East,Hertfordshire,7
East,Norfolk,10
East,Suffolk,6
East Midlands,Leicestershire,6
East Midlands,Northamptonshire,6
East Midlands,Nottinghamshire,11
London,Greater London,28
North East,County Durham,9
North East,Northumberland,3
North East,Tyne and Wear,10
North West,Cumbria,5
North West,Greater Manchester,26
North West,Lancashire,17
North West,Merseyside,4
Northern Ireland,Northern Ireland,5
Scotland,Scotland,61
South East,Berkshire,3
South East,Buckinghamshire,3
South East,East Sussex,5
South East,Hampshire,12
South East,Kent,12
South East,Oxfordshire,2
South East,Surrey,5
South East,West Sussex,4
South West,Bristol,2
South West,Cornwall,6
South West,Devon,11
South West,Dorset,3
South West,Gloucestershire,6
South West,Somerset,10
South West,Wiltshire,6
Wales,Wales,30
West Midlands,Cheshire,11
West Midlands,Derbyshire,9
West Midlands,Herefordshire,3
West Midlands,Shropshire,5
West Midlands,Staffordshire,13
West Midlands,Warwickshire,3
West Midlands,West Midlands,20
West Midlands,Worcestershire,6
Yorkshire & Humber,East Riding of Yorkshire,6
Yorkshire & Humber,Lincolnshire,9
Yorkshire & Humber,North Yorkshire,13
Yorkshire & Humber,South Yorkshire,12
Yorkshire & Humber,West Yorkshire,26
