Region,Age Group,Total,Adult BHC,Adult AHC,Child BHC,Child AHC,RLI Total
East,Infant,136248,0.14,0.19,0.17,0.26,23162
East,Nursery,226289,0.14,0.19,0.17,0.26,38469
East,Primary School,556221,0.14,0.19,0.17,0.26,94558
East,Secondary School,369766,0.14,0.19,0.17,0.26,62860
East,Adult,7928741,0.14,0.19,0.17,0.26,1110024
East Midlands,Infant,98500,0.17,0.2,0.2,0.27,19700
East Midlands,Nursery,165134,0.17,0.2,0.2,0.27,33027
East Midlands,Primary School,412323,0.17,0.2,0.2,0.27,82465
East Midlands,Secondary School,279985,0.17,0.2,0.2,0.27,55997
East Midlands,Adult,8046546,0.17,0.2,0.2,0.27,1367913
London,Infant,232224,0.16,0.27,0.21,0.38,48767
London,Nursery,363575,0.16,0.27,0.21,0.38,76351
London,Primary School,832055,0.16,0.27,0.21,0.38,174732
London,Secondary School,522987,0.16,0.27,0.21,0.38,109827
London,Adult,5416615,0.16,0.27,0.21,0.38,866658
North East,Infant,52193,0.21,0.25,0.3,0.37,15658
North East,Nursery,86585,0.21,0.25,0.3,0.37,25976
North East,Primary School,217969,0.21,0.25,0.3,0.37,65391
North East,Secondary School,149025,0.21,0.25,0.3,0.37,44708
North East,Adult,5763389,0.21,0.25,0.3,0.37,1210312
North West,Infant,160556,0.19,0.22,0.25,0.31,40139
North West,Nursery,261248,0.19,0.22,0.25,0.31,65312
North West,Primary School,638606,0.19,0.22,0.25,0.31,159652
North West,Secondary School,431568,0.19,0.22,0.25,0.31,107892
North West,Adult,4469951,0.19,0.22,0.25,0.31,849291
Northern Ireland,Infant,44792,0.17,0.18,0.22,0.24,9854
Northern Ireland,Nursery,72944,0.17,0.18,0.22,0.24,16048
Northern Ireland,Primary School,179876,0.17,0.18,0.22,0.24,39573
Northern Ireland,Secondary School,121122,0.17,0.18,0.22,0.24,26647
Northern Ireland,Adult,5240409,0.17,0.18,0.22,0.24,890870
Scotland,Infant,99697,0.17,0.19,0.21,0.24,20936
Scotland,Nursery,164109,0.17,0.19,0.21,0.24,34463
Scotland,Primary School,418842,0.17,0.19,0.21,0.24,87957
Scotland,Secondary School,290025,0.17,0.19,0.21,0.24,60905
Scotland,Adult,4553677,0.17,0.19,0.21,0.24,774125
South East,Infant,191472,0.14,0.19,0.15,0.24,28721
South East,Nursery,320117,0.14,0.19,0.15,0.24,48018
South East,Primary School,813536,0.14,0.19,0.15,0.24,122030
South East,Secondary School,554834,0.14,0.19,0.15,0.24,83225
South East,Adult,2985624,0.14,0.19,0.15,0.24,417987
South West,Infant,106168,0.14,0.19,0.16,0.26,16987
South West,Nursery,178364,0.14,0.19,0.16,0.26,28538
South West,Primary School,456726,0.14,0.19,0.16,0.26,73076
South West,Secondary School,312650,0.14,0.19,0.16,0.26,50024
South West,Adult,1626855,0.14,0.19,0.16,0.26,227760
Wales,Infant,60238,0.2,0.23,0.22,0.31,13252
Wales,Nursery,101103,0.2,0.23,0.22,0.31,22243
Wales,Primary School,256644,0.2,0.23,0.22,0.31,56462
Wales,Secondary School,178607,0.2,0.23,0.22,0.31,39294
Wales,Adult,4869408,0.2,0.23,0.22,0.31,973882
West Midlands,Infant,132588,0.21,0.25,0.29,0.35,38451
West Midlands,Nursery,216669,0.21,0.25,0.29,0.35,62834
West Midlands,Primary School,529737,0.21,0.25,0.29,0.35,153624
West Midlands,Secondary School,360637,0.21,0.25,0.29,0.35,104585
West Midlands,Adult,655879,0.21,0.25,0.29,0.35,137735
Yorkshire & Humber,Infant,117440,0.21,0.24,0.28,0.33,32883
Yorkshire & Humber,Nursery,194077,0.21,0.24,0.28,0.33,54342
Yorkshire & Humber,Primary School,478245,0.21,0.24,0.28,0.33,133909
Yorkshire & Humber,Secondary School,323946,0.21,0.24,0.28,0.33,90705
Yorkshire & Humber,Adult,2055878,0.21,0.24,0.28,0.33,431734
